pruneDocFreq removing [cluster approach] 1.#INF00
pruneDocFreq removing [cluster base] 1.#INF00
pruneDocFreq removing [cluster coeffici] 1.#INF00
pruneDocFreq removing [cluster data] 1.#INF00
pruneDocFreq removing [cluster degre] 1.#INF00
pruneDocFreq removing [cluster follow] 1.#INF00
pruneDocFreq removing [cluster gener] 1.#INF00
pruneDocFreq removing [cluster given] 1.#INF00
pruneDocFreq removing [cluster group] 1.#INF00
pruneDocFreq removing [cluster measur] 1.#INF00
pruneDocFreq removing [cluster method] 1.#INF00
pruneDocFreq removing [cluster network] 1.#INF00
pruneDocFreq removing [cluster node] 1.#INF00
pruneDocFreq removing [cluster result] 1.#INF00
pruneDocFreq removing [cluster similar] 1.#INF00
pruneDocFreq removing [cluster specif] 1.#INF00
pruneDocFreq removing [cluster structur] 1.#INF00
pruneDocFreq removing [cluster topic] 1.#INF00
pruneDocFreq removing [collabor network] 1.#INF00
pruneDocFreq removing [collabor provid] 1.#INF00
pruneDocFreq removing [collabor research] 1.#INF00
pruneDocFreq removing [collabor result] 1.#INF00
pruneDocFreq removing [collabor social] 1.#INF00
pruneDocFreq removing [collabor structur] 1.#INF00
pruneDocFreq removing [collabor work] 1.#INF00
pruneDocFreq removing [compar approach] 1.#INF00
pruneDocFreq removing [compar method] 1.#INF00
pruneDocFreq removing [compar network] 1.#INF00
pruneDocFreq removing [compar perform] 1.#INF00
pruneDocFreq removing [compar result] 1.#INF00
pruneDocFreq removing [complet analysi] 1.#INF00
pruneDocFreq removing [complex central] 1.#INF00
pruneDocFreq removing [complex comput] 1.#INF00
pruneDocFreq removing [complex network] 1.#INF00
pruneDocFreq removing [complex pp] 1.#INF00
pruneDocFreq removing [compon network] 1.#INF00
pruneDocFreq removing [concept social] 1.#INF00
pruneDocFreq removing [conceptu network] 1.#INF00
pruneDocFreq removing [conclus paper] 1.#INF00
pruneDocFreq removing [conclus social] 1.#INF00
pruneDocFreq removing [connect data] 1.#INF00
pruneDocFreq removing [connect differ] 1.#INF00
pruneDocFreq removing [connect direct] 1.#INF00
pruneDocFreq removing [connect graph] 1.#INF00
pruneDocFreq removing [connect group] 1.#INF00
pruneDocFreq removing [connect individu] 1.#INF00
pruneDocFreq removing [connect inform] 1.#INF00
pruneDocFreq removing [connect member] 1.#INF00
pruneDocFreq removing [connect network] 1.#INF00
pruneDocFreq removing [connect paper] 1.#INF00
pruneDocFreq removing [connect relat] 1.#INF00
pruneDocFreq removing [connect repres] 1.#INF00
pruneDocFreq removing [connect result] 1.#INF00
pruneDocFreq removing [connect valu] 1.#INF00
pruneDocFreq removing [consist set] 1.#INF00
pruneDocFreq removing [construct differ] 1.#INF00
pruneDocFreq removing [construct graph] 1.#INF00
pruneDocFreq removing [construct network] 1.#INF00
pruneDocFreq removing [contain inform] 1.#INF00
pruneDocFreq removing [content exampl] 1.#INF00
pruneDocFreq removing [context activ] 1.#INF00
pruneDocFreq removing [context analysi] 1.#INF00
pruneDocFreq removing [context data] 1.#INF00
pruneDocFreq removing [context includ] 1.#INF00
pruneDocFreq removing [context inform] 1.#INF00
pruneDocFreq removing [context mobil] 1.#INF00
pruneDocFreq removing [context network] 1.#INF00
pruneDocFreq removing [context provid] 1.#INF00
pruneDocFreq removing [context relat] 1.#INF00
pruneDocFreq removing [context studi] 1.#INF00
pruneDocFreq removing [context user] 1.#INF00
pruneDocFreq removing [contribut network] 1.#INF00
pruneDocFreq removing [contribut social] 1.#INF00
pruneDocFreq removing [correspond result] 1.#INF00
pruneDocFreq removing [count measur] 1.#INF00
pruneDocFreq removing [count number] 1.#INF00
pruneDocFreq removing [creat differ] 1.#INF00
pruneDocFreq removing [defin indic] 1.#INF00
pruneDocFreq removing [defin inform] 1.#INF00
pruneDocFreq removing [defin network] 1.#INF00
pruneDocFreq removing [defin node] 1.#INF00
pruneDocFreq removing [defin number] 1.#INF00
pruneDocFreq removing [defin weight] 1.#INF00
pruneDocFreq removing [definit network] 1.#INF00
pruneDocFreq removing [degre connect] 1.#INF00
pruneDocFreq removing [degre distribut] 1.#INF00
pruneDocFreq removing [degre high] 1.#INF00
pruneDocFreq removing [degre link] 1.#INF00
pruneDocFreq removing [degre low] 1.#INF00
pruneDocFreq removing [degre measur] 1.#INF00
pruneDocFreq removing [degre network] 1.#INF00
pruneDocFreq removing [degre node] 1.#INF00
pruneDocFreq removing [degre number] 1.#INF00
pruneDocFreq removing [demonstr social] 1.#INF00
pruneDocFreq removing [densiti network] 1.#INF00
pruneDocFreq removing [densiti number] 1.#INF00
pruneDocFreq removing [depart univers] 1.#INF00
pruneDocFreq removing [dept abstract] 1.#INF00
pruneDocFreq removing [dept univers] 1.#INF00
pruneDocFreq removing [deriv data] 1.#INF00
pruneDocFreq removing [design analysi] 1.#INF00
pruneDocFreq removing [design data] 1.#INF00
pruneDocFreq removing [design research] 1.#INF00
pruneDocFreq removing [design social] 1.#INF00
pruneDocFreq removing [detect network] 1.#INF00
pruneDocFreq removing [detect user] 1.#INF00
pruneDocFreq removing [determin data] 1.#INF00
pruneDocFreq removing [determin measur] 1.#INF00
pruneDocFreq removing [develop applic] 1.#INF00
pruneDocFreq removing [develop base] 1.#INF00
pruneDocFreq removing [develop inform] 1.#INF00
pruneDocFreq removing [develop measur] 1.#INF00
pruneDocFreq removing [develop model] 1.#INF00
pruneDocFreq removing [develop network] 1.#INF00
pruneDocFreq removing [develop onlin] 1.#INF00
pruneDocFreq removing [develop research] 1.#INF00
pruneDocFreq removing [develop structur] 1.#INF00
pruneDocFreq removing [develop studi] 1.#INF00
pruneDocFreq removing [develop user] 1.#INF00
pruneDocFreq removing [devic mobil] 1.#INF00
pruneDocFreq removing [devic network] 1.#INF00
pruneDocFreq removing [devic sensor] 1.#INF00
pruneDocFreq removing [devic user] 1.#INF00
pruneDocFreq removing [diamet network] 1.#INF00
pruneDocFreq removing [difficult network] 1.#INF00
pruneDocFreq removing [difficult social] 1.#INF00
